============================================================
  ALZHEIMER'S PMC DOWNLOAD — TOKEN REPORT
============================================================
  Papers downloaded : 299
  Total characters  : 25,237,251
  Total tokens      : 6,868,225
  Avg tokens/paper  : 22,970
============================================================

PMC ID           Tokens        Chars  Title
PMC12996523      25,300       96,954  Unravelling Synaptic and Metabolic Mechanisms of C…
PMC7532424        7,465       28,544  Easy Identification of Optimal Coronal Slice on Br…
PMC7350255       24,640       90,747  IPSC-Derived Neuronal Cultures Carrying the Alzhei…
PMC8995544        6,915       30,206  Machine Learning and Image Processing Enabled Evol…
PMC6630340        9,428       34,927  Preventive Effect of Quercetin in a Triple Transge…
PMC12812856      15,805       64,394  Brain volume trajectories in Down syndrome and aut…
PMC8572071       31,260      110,774  The promise of microRNA-based therapies in Alzheim…
PMC10581136      12,071       47,476  A Functional Assessment Tool to Distinguish Contro…
PMC9169465       10,563       42,405  Patterns of impairment in decision-making capacity…
PMC11497686      18,214       68,532  Alzheimer's disease genetic pathways impact cerebr…
PMC8994981       19,582       73,115  New approaches for the quantification and targetin…
PMC12678623      35,364      139,141  Italian intersocietal recommendations for restruct…
PMC8881582       13,461       54,404  Increased retention of tau PET ligand [18F]-AV1451…
PMC10761829      15,371       50,314  Histogram-based features track Alzheimer's progres…
PMC8979441       10,964       41,490  Olfactory identification disorders due to Alzheime…
PMC10281385      14,382       62,114  Preclinical Disease or Risk Factor? Alzheimer’s Di…
PMC11982912      17,443       65,674  Early increase of the synaptic blood marker β‐synu…
PMC12774959      21,051       78,221  S-allyl cysteine and alliin enhance catalase activ…
PMC4789228       16,640       65,789  Intracerebroventricular Streptozotocin Injections …
PMC8157600       58,613      201,629  Insulin Resistance and Diabetes Mellitus in Alzhei…
PMC12869035      15,839       55,957  Associations of plasma biomarkers with longitudina…
PMC7271529       26,066       95,165  The human olfactory system in two proteinopathies:…
PMC11247678      13,028       47,942  The presenilin 1 mutation P436S causes familial Al…
PMC6787542       29,859      118,471  Medical big data: promise and challenges.
PMC12635860      13,527       48,060  Apolipoprotein E and Alzheimer's disease pathology…
PMC5372608       15,443       54,721  Potential Neuroprotective Effects of Adiponectin i…
PMC8777884        9,675       36,844  YKL-40 as a Potential Biomarker for the Differenti…
PMC4915678       13,476       49,686  Changes in the Chemical Barrier Composition of Tea…
PMC11247664      12,689       47,812  Post‐GWAS multiomic functional investigation of th…
PMC9139049       28,969       93,564  Natural Products from Plants and Algae for Treatme…
PMC10652211      24,091       90,072  Sex differences in longitudinal changes of episodi…
PMC11667531      11,525       40,041  Microscopy assessment of a fluorescence [18F] flor…
PMC11982707      36,023      136,167  Risk of Alzheimer's disease in Down syndrome: Insi…
PMC11848398      11,034       45,946  Unlocking ocular biomarkers for early detection of…
PMC8346080       22,180       75,069  Dysregulation of Astrocyte–Neuronal Communication …
PMC12828214      10,841       47,088  Research Trends in Periodontitis and Alzheimer's D…
PMC12280782      13,446       53,534  Major Cost Drivers in Assessing the Economic Burde…
PMC6539304       49,947      173,349  Natural Compounds for Alzheimer’s Disease Therapy:…
PMC4500505       11,120       44,828  Measuring Compounds in Exhaled Air to Detect Alzhe…
PMC12314543      22,904       77,963  Early microglial and astrocyte reactivity in precl…
PMC7667299       13,723       46,259  Memantine, Donepezil, or Combination Therapy—What …
PMC7143946       34,545      115,902  Molecular Insight into the Therapeutic Promise of …
PMC6085898       14,642       54,639  The association between “Brain‐Age Score” (BAS) an…
PMC7504624       10,557       40,255  Exploring the regulatory roles of circular RNAs in…
PMC9885419       37,380      145,491  Links between COVID-19 and Parkinson’s disease/Alz…
PMC9199559       39,004      125,710  Neuroinflammatory Signaling in the Pathogenesis of…
PMC10493651      14,342       48,786  Repetitive transcranial magnetic stimulation may b…
PMC7558359       44,491      167,761  Human Pluripotent Stem Cell-Derived Neural Cells a…
PMC12519502      17,535       63,931  Cerebrospinal fluid proteomic associations of APOE…
PMC8405119       34,047      130,021  Role of neurotoxicants in the pathogenesis of Alzh…
PMC8930932       40,489      139,060  Human iPSC-Derived Neural Models for Studying Alzh…
PMC11663460      22,539       78,063  MicroRNA expression in extracellular vesicles as a…
PMC4442621       11,496       41,801  Platelets in the Alzheimer's Disease Brain: do the…
PMC12805325      14,567       59,869  Brain‐peripheral proteome crosstalk in Alzheimer's…
PMC8700838       36,626      131,982  Advances in Genetics and Epigenetic Alterations in…
PMC9027827       36,297      134,009  Advances in the development of new biomarkers for …
PMC12081594      53,767      174,498  Role of Ion Channels in Alzheimer’s Disease Pathop…
PMC11772712      28,001      114,481  The Alzheimer's Association clinical practice guid…
PMC12257826      43,747      148,769  Proteomic landscape of Alzheimer’s disease: emergi…
PMC8763750       12,298       43,209  Delinquentes Verhalten im Rahmen frontotemporaler …
PMC10796103      37,123      131,878  Amyloid Precursor Protein: A Regulatory Hub in Alz…
PMC8103764       18,724       69,228  Methylation as a key regulator of Tau aggregation …
PMC7038192       26,930       94,788  Computer-Aided Drug Design of β-Secretase, γ-Secre…
PMC3070802       18,985       67,234  Chronic mild cerebrovascular dysfunction as a caus…
PMC12301006      36,070      136,014  Dual Inhibitors of Acetylcholinesterase and Monoam…
PMC6130697        9,581       34,867  Aqueous extract of Securidaca longipendunculata Ol…
PMC6722814       29,732      106,077  Dietary Neuroketotherapeutics for Alzheimer’s Dise…
PMC9456198       23,313       79,564  The Impairment of Blood-Brain Barrier in Alzheimer…
PMC12477818      49,203      179,633  The medial septum-hippocampus-lateral septum circu…
PMC8394950       28,534      101,306  Retinal Dysfunction in Alzheimer’s Disease and Imp…
PMC8639554       20,396       83,314  Inverse Correlation Between Alzheimer’s Disease an…
PMC4825948       19,641       70,602  Alzheimer,s Disease Risk and Progression: The Role…
PMC9654484       58,379      205,208  Astrocytes as a Therapeutic Target in Alzheimer’s …
PMC11222499      13,420       57,783  Structure focused neurodegeneration convolutional …
PMC12753252      16,328       65,794  Brain topology alteration in Alzheimer’s disease b…
PMC13004678      29,401      110,367  Microglia protein profiles in CSF across Alzheimer…
PMC11485398      17,775       68,547  Digital cognitive assessments as low‐burden marker…
PMC10218981      57,287      201,618  Role of Calcium Modulation in the Pathophysiology …
PMC5652033       21,664       76,615  YKL-40 as a Potential Biomarker and a Possible Tar…
PMC8136734       12,183       47,771  Molecular subtyping of Alzheimer’s disease with co…
PMC8180161       29,995      109,753  “Don’t Phos Over Tau”: recent developments in clin…
PMC9616094       45,410      148,311  Pathological changes within the cerebral vasculatu…
PMC13114639      28,091      106,511  From Lipids to Mitochondria: Shared Metabolic Alte…
PMC3549495       22,049       86,424  Identification of gene pathways implicated in Alzh…
PMC10479833      50,945      192,239  Biomaterials-based anti-inflammatory treatment str…
PMC6537750       15,733       64,643  Rate of brain aging and APOE ε4 are synergistic ri…
PMC7699688       38,010      129,825  Therapeutic Strategies to Target Calcium Dysregula…
PMC12603797      34,430      139,417  Tracking electrophysiological signatures of Alzhei…
PMC9781291       23,248       91,364  Novel Algorithm of Network Calcium Dynamics Analys…
PMC7309672       12,293       47,154  Using Plants as a Source of Potential Therapeutics…
PMC10262499      10,432       39,941  Body mass index and two-year change of in vivo Alz…
PMC12784536      36,329      130,787  Recent molecular insights and biosensor-based diag…
PMC12344583      44,179      159,536  Integrating neuroinflammation biomarkers into the …
PMC11772192      17,709       71,401  Mitochondrial dysfunction in Alzheimer’s disease: …
PMC4835514       21,462       77,178  Cerebrovascular disease in ageing and Alzheimer’s …
PMC12434245      24,964       92,791  Lifestyle factors and plasma biomarkers of Alzheim…
PMC9016047       18,153       69,272  Novel Exosome Biomarker Candidates for Alzheimer’s…
PMC9710176        5,020       19,045  β-Synuclein as a candidate blood biomarker for syn…
PMC6514598       18,280       66,066  Natural Products in Alzheimer’s Disease Therapy: W…
PMC6009890       12,326       45,173  Rosmarinic acid prevents fibrillization and dimini…
PMC7322519       23,270       82,174  Opportunities for multiscale computational modelli…
PMC10649108      35,909      122,069  Potential Retinal Biomarkers in Alzheimer’s Diseas…
PMC12173829      12,138       54,505  Current advances and unmet needs in Alzheimer's di…
PMC8837797       24,410       94,803  Machine learning prediction and tau-based screenin…
PMC6365111       18,227       65,699  A plasma protein classifier for predicting amyloid…
PMC10664119      25,991      102,844  Genetic and epigenetic targets of natural dietary …
PMC11434637      26,806      102,088  Lost in translation: Inconvenient truths on the ut…
PMC6990771        7,402       27,793  Alzheimer’s disease, neural stem cells and neuroge…
PMC9847601       10,332       36,844  Working status and risk of Alzheimer's disease: A …
PMC8018033       18,837       67,354  Denser brain capillary network with preserved peri…
PMC8008576       13,900       55,609  Amyloid pathology arrangements in Alzheimer’s dise…
PMC7414992       23,513       84,942  Microglia depletion diminishes key elements of the…
PMC6366423       14,112       47,059  Donepezil + chromone + melatonin hybrids as promis…
PMC6408545       15,670       58,209  Cross-disease analysis of Alzheimer’s disease and …
PMC11336126      18,915       67,562  Abnormal EEG microstates in Alzheimer’s disease: p…
PMC11256416      40,246      149,827  The duality of amyloid-β: its role in normal and A…
PMC11616278      63,996      235,088  Aging-associated sensory decline and Alzheimer’s d…
PMC11452344      28,776      114,776  Proteomic changes in Alzheimer’s disease associate…
PMC12384664      20,018       77,317  Complement Cascades and Brain Disorders
PMC7227628       18,011       63,127  Rationale for the development of an Alzheimer’s di…
PMC13025802      29,208      105,732  Inherent Lipid Composition Abnormalities in Astroc…
PMC7397274       14,050       40,328  Triazolopyridopyrimidine: A New Scaffold for Dual-…
PMC9695993       22,276       79,240  Marine Sources of DHA-Rich Phospholipids with Anti…
PMC12558772      24,822       93,304  Premenstrual dysphoric disorder as a potential pre…
PMC11032577      16,980       66,111  Genetic modifiers of cognitive decline in PSEN1 E2…
PMC4827392        8,446       37,431  Multimodal Image Analysis in Alzheimer’s Disease v…
PMC12484899      16,266       65,008  Olfactory Testing With Focus on Odor Identificatio…
PMC7139812       23,581       88,726  Potential Therapeutic Approaches for Cerebral Amyl…
PMC13060756      13,485       47,791  Diagnostic performance of salivary markers of Alzh…
PMC8086346       38,962      155,451  Nanomedicine-based technologies and novel biomarke…
PMC9812772       23,386       88,958  Incretin and insulin signaling as novel therapeuti…
PMC13163923      25,477       96,465  Small-Molecule Targeting of the Iron-Responsive El…
PMC12727082      37,968      142,291  Interconnected Pathways of Alzheimer's Disease and…
PMC7682991       22,263       89,717  Structural rearrangement of amyloid-β upon inhibit…
PMC7359941       14,396       70,792  US, EU, and Japanese Regulatory Guidelines for Dev…
PMC7246721       22,843       82,866  Combination Drug Therapy for the Management of Alz…
PMC11092257      39,455      150,292  Tau- and α-synuclein-targeted gold nanoparticles: …
PMC12092271      25,089       88,963  ADNP is essential for sex-dependent hippocampal ne…
PMC12094571      34,919      126,673  Potential mechanisms of non-coding RNA regulation …
PMC11485263      36,623      131,206  Serum proteomics reveal APOE-ε4-dependent and APOE…
PMC11711632      27,282       96,511  The Link Between Matrix Metalloproteinases and Alz…
PMC11700052      43,245      138,080  Exosomes and non-coding RNAs: bridging the gap in …
PMC6366077       22,615       83,354  Important advances in Alzheimer’s disease from the…
PMC9932935       33,378      117,643  Aberrant protein S-nitrosylation contributes to hy…
PMC8235707       22,021       81,192  The Conspicuous Link between Ear, Brain and Heart–…
PMC12122256      15,756       60,205  Repeated plasma p‐tau217 measurements to monitor c…
PMC5399050       14,456       57,371  Differential diagnosis between patients with proba…
PMC3349985       57,939      224,497  Brain Insulin Resistance and Deficiency as Therape…
PMC4123596       14,538       55,674  Behavioral and Psychological Symptoms in Alzheimer…
PMC12368895      36,640      123,169  Impairment of Tricarboxylic Acid Cycle (TCA) Cycle…
PMC9278807       15,171       52,154  Different tau epitopes define Abeta42-mediated tau…
PMC12678226      34,629      124,919  Bioenergetics and lipid metabolism in Alzheimer's …
PMC10975384      17,417       62,110  Oral Microbiome Stamp in Alzheimer’s Disease
PMC9966419       30,805      102,189  Alzheimer’s Disease: An Updated Overview of Its Ge…
PMC10604997      14,603       55,655  The Role of Oxytocin in Alzheimer’s Disease and It…
PMC12539499      24,290       89,191  Mechanistic Insights and Emerging Therapeutic Targ…
PMC11173284      18,719       67,107  Epigenetics in Alzheimer’s Disease: A Critical Ove…
PMC12175645      36,308      136,482  Multi‐Target Drug Design in Alzheimer's Disease Tr…
PMC8686302       50,504      169,864  From Hybrids to New Scaffolds: The Latest Medicina…
PMC8036769       18,169       64,234  Insoluble Vascular Amyloid Deposits Trigger Disrup…
PMC11043180      18,268       70,247  Neuritic Plaques — Gateways to Understanding Alzhe…
PMC3885572       15,602       61,021  Characterization and Molecular Profiling of PSEN1 …
PMC3973836       10,814       39,843  Changes in cerebrospinal fluid and blood plasma le…
PMC11742868      48,682      172,161  Comparison of the amyloid plaque proteome in Down …
PMC12926934      18,963       64,777  Globus Pallidus Iron Relates to Cognitive Impairme…
PMC12823400      30,276      107,886  Lysophosphatidylcholines are associated with amylo…
PMC10714029      30,712      104,384  Proteomic comparison between non‐purified cerebros…
PMC5652010       56,353      171,364  Mechanisms of Melatonin in Alleviating Alzheimer’s…
PMC12779546      29,093      105,341  Microglia modulate Aβ-dependent astrocyte reactivi…
PMC9199555       18,362       62,107  Post-Translational Modifications of BACE1 in Alzhe…
PMC12842860      12,220       45,937  The role of the oral microbiome, host response, an…
PMC10153019      25,461       87,856  Interlink between the gut microbiota and inflammat…
PMC7569315       32,675      118,851  Current Status of Drug Targets and Emerging Therap…
PMC9346002       11,141       38,480  PILRA polymorphism modifies the effect of APOE4 an…
PMC5588216       13,992       52,152  Amyloid-Beta: A Crucial Factor in Alzheimer's Dise…
PMC12353841      22,868       94,942  The Global Neurodegeneration Proteomics Consortium…
PMC8579533       17,705       66,577  The role of pathological tau in synaptic dysfuncti…
PMC5540602       15,368       57,842  Changes in lipid membranes may trigger amyloid tox…
PMC10977971      30,437      127,472  Neurophysiological trajectories in Alzheimer’s dis…
PMC8842772       11,613       43,179  Is Amyloid Burden Measured by 18F-Flutemetamol PET…
PMC4594099       14,688       57,505  Aberrant intra- and inter-network connectivity arc…
PMC10286584      43,945      154,719  Melatonin as a Harmonizing Factor of Circadian Rhy…
PMC7918511       14,483       54,899  A Novel Score for Predicting Alzheimer’s Disease R…
PMC12978011      15,770       62,587  Hypertension as a Major Risk Factor in Alzheimer’s…
PMC3018626       12,165       48,212  Alzheimer's Disease: A Pathogenetic Autoimmune Dis…
PMC4268744        8,198       30,564  Genetic association of urokinase-type plasminogen …
PMC10234039      25,428       92,570  Differential effects of familial Alzheimer’s disea…
PMC4153084       13,485       55,044  An Evaluation of MSDC-0160, A Prototype mTOT Modul…
PMC7555886       48,329      161,440  Signalling Pathways Implicated in Alzheimer′s Dise…
PMC9407775        9,689       38,092  Prediction of Alzheimer’s Disease by a Novel Image…
PMC7956266       10,641       37,651  Clinical Relevance of [18F]Florbetaben and [18F]FD…
PMC9881084       15,357       56,677  Potential Roles of α-amylase in Alzheimer’s Diseas…
PMC10671222      35,199      114,577  Potential Implications of miRNAs in the Pathogenes…
PMC11225141      10,353       43,487  Macro and micro structural preservation of grey ma…
PMC13170240      31,912      125,002  A NeuroD1 AAV‐Based Gene Therapy for Functional Br…
PMC13137405      24,403       90,995  Co‐pathologies and biological processes beyond amy…
PMC11003087      43,749      178,767  The concept of resilience to Alzheimer’s Disease: …
PMC11964427      21,615       80,230  Skin-brain axis in Alzheimer's disease - Pathologi…
PMC5727512       15,966       58,234  Blood-Brain Glucose Transfer in Alzheimer’s diseas…
PMC12475151      21,993       83,427  Assessing the link between cerebellar volume and c…
PMC7600228       28,761      111,063  Relationship between Wine Consumption, Diet and Mi…
PMC9156411       18,887       69,388  Aβ profiles generated by Alzheimer’s disease causi…
PMC11451310      17,528       57,136  In Silico Prediction of Quercetin Analogs for Targ…
PMC10661967      10,664       40,846  Neural Oscillation Disorder in the Hippocampal CA1…
PMC7564652       13,275       44,469  MicroRNAs Modulate the Pathogenesis of Alzheimer’s…
PMC12908725      24,178       85,734  Morpho-Functional Characterization and miRNA Profi…
PMC8267711       22,925       84,125  PEAβ Triggers Cognitive Decline and Amyloid Burden…
PMC9126800       12,733       45,368  Pyroglutamate Aβ cascade as drug target in Alzheim…
PMC11699668       9,343       36,936  Alzheimer’s disease and antibody-mediated immune r…
PMC12876284       6,815       28,585  Critical evaluation of self-rated quality of life …
PMC11923393      30,854      109,089  Tau degradation in Alzheimer's disease: Mechanisms…
PMC6748929       16,994       69,657  Non-invasive in vivo hyperspectral imaging of the …
PMC10097140      13,281       49,562  Personality traits and disorders in Alzheimer's di…
PMC10047952      14,180       56,538  Deep Learning-Based Feature Extraction with MRI Da…
PMC10296659       9,324       32,689  A Novel Aggregation-Induced Emission Fluorescent P…
PMC8707446       15,140       53,093  Hybrid Bis-Histidine Phenanthroline-Based Ligands …
PMC8745046       42,193      144,796  Disrupting Neurons and Glial Cells Oneness in the …
PMC7911414       49,621      163,894  Epigenetics of Alzheimer’s Disease
PMC7998661       31,270      116,902  Plasmonic Nanoparticles as Optical Sensing Probes …
PMC2881509       15,698       57,214  Human Breast Cancer-Associated Fibroblasts (CAFs) …
PMC10578107      31,737      111,579  Anti-Amyloid Therapies for Alzheimer’s Disease and…
PMC9369093       47,702      157,532  Forest Biomass as a Promising Source of Bioactive …
PMC2782140       16,263       60,427  Apolipoprotein E-Mimetics Inhibit Neurodegeneratio…
PMC12911148      13,047       48,119  Demographic and geographic hotspots of Alzheimer’s…
PMC8899571       24,510       99,435  Phage display derived peptides for Alzheimer's dis…
PMC13042409      42,945      153,592  Autophagy Activators Normalize Aberrant Tau Proteo…
PMC6479979       29,281      101,691  Extracellular Vesicle as a Source of Alzheimer’s B…
PMC11567870      19,194       70,612  MEDI1814 selectively reduces free Aβ42 in cerebros…
PMC5588241        4,725       17,108  Association Study of the TREM2 Gene and Identifica…
PMC9627150       13,262       47,679  Menopause and development of Alzheimer’s disease: …
PMC11324136      24,571      106,352  Predictive value of somatic and functional variabl…
PMC9738978       23,250       82,574  Effect of a Vegan Diet on Alzheimer’s Disease
PMC5734769       19,245       70,547  Eicosanoyl-5-hydroxytryptamide (EHT) prevents Alzh…
PMC12627892      19,617       86,622  Risk reduction and precision prevention across the…
PMC10909166      19,236       76,984  Categorization of Alzheimer’s disease stages using…
PMC13158761      10,517       40,551  Tetanus, diphtheria and pertussis vaccination and …
PMC13004683      26,594      107,498  Predicting onset of symptomatic Alzheimerʼs diseas…
PMC12220713      21,315       84,482  Pathological axonal enlargement in connection with…
PMC9687885       62,044      231,526  Interdisciplinary Approaches to Deal with Alzheime…
PMC8727120       12,324       41,962  Alzheimer's Disease Classification Based on Image …
PMC7592690       15,170       55,190  Amyloidogenic Nanoplaques in Cerebrospinal Fluid: …
PMC9557331       15,688       59,741  Landscape of immune infiltration in entorhinal cor…
PMC8002323       16,108       53,435  Novel Donepezil–Arylsulfonamide Hybrids as Multita…
PMC8547095       31,644      121,187  Identification and drug-induced reversion of molec…
PMC7730848       20,725       74,759  The Role of Mitochondrial Calcium Homeostasis in A…
PMC6383137       13,266       46,557  Fibroblast growth factor 21 ameliorates neurodegen…
PMC11848153      14,484       65,358  Developing and applying potentially scalable recru…
PMC6992417        9,866       35,496  Reliability of peak treadmill exercise tests in mi…
PMC12539529      31,505      118,672  Pros and Cons of Human Brain Organoids to Study Al…
